Date,Transaction Description,Category,Amount,Type
2020-03-24,Example decision garden.,Entertainment,144.13,Expense
2020-05-06,Kid put memory soldier.,Utilities,123.19,Expense
2020-08-04,Help usually thank wonder draw.,Shopping,133.91,Expense
2020-10-29,Office of remember individual.,Utilities,15.32,Expense
2020-11-20,Position interest.,Shopping,117.87,Expense
2021-01-01,Your ever woman way avoid.,Food & Drink,101.52,Expense
2021-03-05,Heavy what least mouth national.,Food & Drink,110.65,Expense
2021-03-12,Receive case past only drug.,Utilities,39.57,Expense
2021-07-13,Relate day.,Shopping,115.98,Expense
2021-08-21,Idea seek.,Utilities,135.57,Expense
2022-01-16,End bit game thousand.,Entertainment,47.69,Expense
2022-03-17,Positive participant fear blue as.,Entertainment,23.59,Expense
2022-06-04,Evidence enough claim suffer.,Entertainment,145.26,Expense
2022-09-11,Never condition.,Shopping,68.09,Expense
2022-11-26,Growth appear project.,Food & Drink,101.43,Expense
2022-12-05,Magazine join.,Utilities,113.06,Expense
2023-01-24,Drug entire involve.,Entertainment,125.23,Expense
2023-03-13,People newspaper stay.,Utilities,71.85,Expense
2023-07-25,President likely truth animal.,Utilities,140.58,Expense
2023-09-15,That reflect send set fly.,Shopping,117.58,Expense
2023-10-03,Strong mind from.,Shopping,19.29,Expense
2023-10-04,Knowledge fight car smile commercial.,Entertainment,45.65,Expense
2023-11-08,Strategy face make.,Utilities,88.42,Expense
2023-11-09,What strong line.,Entertainment,15.45,Expense
2023-11-18,Step rate feeling rate.,Food & Drink,29.25,Expense
2023-12-09,Pull blue strong wonder.,Food & Drink,33.17,Expense
2023-12-29,Society dark product make.,Entertainment,14.37,Expense
2024-02-19,Recognize media goal.,Utilities,89.48,Expense
2024-03-07,Finish without.,Utilities,57.27,Expense
2024-04-20,Skill successful and.,Utilities,19.62,Expense
2024-05-25,Somebody son suddenly perform.,Entertainment,135.09,Expense
2024-05-27,Doctor news yourself.,Food & Drink,89.41,Expense
2024-06-14,Be fire.,Shopping,54.67,Expense
2024-09-17,True help.,Utilities,117.75,Expense
2024-11-03,Doctor population grow bar.,Food & Drink,62.47,Expense
2024-12-02,In seven building hard.,Utilities,39.3,Expense
2024-12-11,Remember carry.,Utilities,121.52,Expense
2023-01-02,Online Shop,Shopping,79.49,Expense
2023-01-03,Netflix,Entertainment,55.04,Expense
2023-01-04,Electricity Bill,Utilities,16.99,Expense
2023-01-06,Netflix,Entertainment,15.02,Expense
